Date,AMZN,BAC,F,AMGN,MSFT,GOOG,AAPL,JPM,WMT,TGT
2021-01-04,159.3314971923828,29.15154457092285,8.295475006103516,214.5945587158203,214.47909545898438,86.41200256347656,128.0870819091797,120.09455871582031,142.53939819335938,172.6693572998047
2021-01-05,160.92550659179688,29.374814987182617,8.422048568725586,215.635986328125,214.6859893798828,87.0459976196289,129.67071533203125,120.74803161621094,141.78065490722656,175.3328399658203
2021-01-06,156.91900634765625,31.209529876708984,8.60704231262207,220.83377075195312,209.11932373046875,86.7645034790039,125.30580139160156,126.41785430908203,142.66587829589844,183.64407348632812
2021-01-07,158.10800170898438,31.898759841918945,8.821244239807129,221.56277465820312,215.0702667236328,89.36250305175781,129.58163452148438,130.56930541992188,142.65614318847656,185.76319885253906
2021-01-08,159.13499450683594,31.578414916992188,8.762825012207031,225.79481506347656,216.38063049316406,90.3604965209961,130.7000732421875,130.71347045898438,142.6366729736328,188.193359375
2021-01-11,155.7104949951172,32.10261154174805,9.05492115020752,224.92379760742188,214.28207397460938,88.33599853515625,127.6614761352539,132.66427612304688,143.2786865234375,189.82644653320312
2021-01-12,156.04150390625,32.675357818603516,9.522270202636719,223.99598693847656,211.75979614257812,87.32749938964844,127.48331451416016,134.74961853027344,144.91294860839844,193.53977966308594
2021-01-13,158.29449462890625,32.481204986572266,9.522270202636719,225.08474731445312,213.14903259277344,87.72000122070312,129.5519256591797,134.8745574951172,143.43435668945312,191.32345581054688
2021-01-14,156.37350463867188,32.995704650878906,9.901992797851562,228.7960662841797,209.87799072265625,87.00900268554688,127.59217071533203,135.66253662109375,142.96739196777344,192.48020935058594
2021-01-15,155.21249389648438,32.044368743896484,9.570952415466309,232.4221954345703,209.513427734375,86.80950164794922,125.84027862548828,133.2312469482422,140.7008819580078,189.35984802246094
2021-01-19,156.03799438476562,31.811391830444336,9.755945205688477,235.05421447753906,213.24754333496094,89.54299926757812,126.52322387695312,132.65464782714844,139.48489379882812,182.90528869628906
2021-01-20,163.16900634765625,31.393972396850586,10.573809623718262,238.92649841308594,221.031005859375,94.34500122070312,130.6802978515625,130.66542053222656,141.54718017578125,183.0413818359375
2021-01-21,165.34950256347656,30.840646743774414,11.226152420043945,238.61407470703125,221.65171813964844,94.5625,135.4708251953125,129.56988525390625,140.90518188476562,185.9284210205078
2021-01-22,164.6114959716797,30.6270809173584,11.216418266296387,240.0058135986328,222.6172637939453,95.05249786376953,137.6483154296875,128.57046508789062,142.34486389160156,186.55056762695312
2021-01-25,164.6999969482422,30.248489379882812,10.992478370666504,243.4141845703125,226.1444549560547,94.97000122070312,141.45895385742188,126.96561431884766,142.21839904785156,184.83969116210938
2021-01-26,166.30650329589844,30.03492546081543,10.895112991333008,244.8343505859375,228.9031524658203,95.86199951171875,141.69650268554688,126.4466781616211,143.4927215576172,182.4581298828125
2021-01-27,161.62899780273438,28.9573974609375,10.505654335021973,237.69569396972656,229.46475219726562,91.53949737548828,140.6077423095703,122.87181091308594,139.92266845703125,173.30120849609375
2021-01-28,161.88099670410156,29.433061599731445,10.4375,234.5619354248047,235.4058074951172,93.15550231933594,135.68856811523438,125.03404235839844,139.83509826660156,178.4532012939453
2021-01-29,160.30999755859375,28.78265953063965,10.252506256103516,228.5783233642578,228.53863525390625,91.78700256347656,130.61099243164062,123.65021514892578,136.66387939453125,176.11048889160156
2021-02-01,167.1439971923828,29.083589553833008,10.544600486755371,227.63157653808594,236.11517333984375,95.06749725341797,132.7687225341797,124.56314849853516,135.4771270751953,178.44346618652344
2021-02-02,169.0,30.122291564941406,10.573809623718262,227.68836975097656,235.9772491455078,96.37550354003906,133.6100311279297,128.39747619628906,136.936279296875,180.40707397460938
2021-02-03,165.62649536132812,30.656204223632812,10.9048490524292,224.45989990234375,239.415771484375,103.50350189208984,132.57077026367188,129.8677978515625,137.3545379638672,179.9404754638672
2021-02-04,166.5500030517578,31.54929542541504,11.070369720458984,224.59243774414062,238.44039916992188,103.11849975585938,135.98548889160156,132.85647583007812,138.64833068847656,183.32325744628906
2021-02-05,167.6074981689453,31.423093795776367,11.206680297851562,223.74034118652344,238.62757873535156,104.9000015258789,135.564208984375,132.5970001220703,140.42849731445312,183.5857391357422
2021-02-08,166.14700317382812,32.12203598022461,11.255363464355469,224.92379760742188,238.89361572265625,104.64550018310547,135.712890625,134.67274475097656,141.08026123046875,188.5335693359375
2021-02-09,165.25,31.986127853393555,11.615612983703613,224.0527801513672,240.1744384765625,104.17549896240234,134.82073974609375,134.13458251953125,141.85845947265625,188.8640899658203
2021-02-10,164.32899475097656,32.0152473449707,11.450092315673828,225.76644897460938,239.2384490966797,104.76899719238281,134.2061767578125,134.2114715576172,140.2047576904297,187.0657501220703
2021-02-11,163.10650634765625,31.91817283630371,11.148262023925781,224.18310546875,240.8838348388672,104.79450225830078,133.94845581054688,133.83670043945312,140.09776306152344,185.09243774414062
2021-02-12,163.885498046875,32.393836975097656,11.148262023925781,226.2528839111328,241.37644958496094,105.20549774169922,134.18634033203125,135.7394256591797,140.53549194335938,186.08395385742188
2021-02-16,163.44749450683594,33.26750946044922,11.235888481140137,222.084716796875,240.10546875,106.09500122070312,132.02542114257812,139.00677490234375,141.69309997558594,185.92788696289062
2021-02-17,165.4320068359375,33.40342330932617,11.177470207214355,224.72677612304688,241.1522216796875,106.41549682617188,129.69598388671875,139.43922424316406,143.19114685058594,188.8642578125
2021-02-18,166.4114990234375,33.18985366821289,11.128787994384766,221.78904724121094,240.74732971191406,105.86000061035156,128.5758514404297,139.91009521484375,133.9109649658203,186.7278289794922
